"Geographic Area Name (NAME)","2012 NAICS code (NAICS2012)","Meaning of NAICS code (NAICS2012_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Paid employees for pay period including March 12 (number) (EMP)","First-quarter payroll ($1,000) (PAYQTR1)","Annual payroll ($1,000) (PAYANN)"
"South Carolina","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","626","4,346","15,011","64,931"
"South Carolina","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","75","524","1,943","8,097"
"South Carolina","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","813","11,508","40,185","178,707"
"South Carolina","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","1","20 to 99 employees","D","D"
"South Carolina","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","170","2,487","8,209","36,277"
"South Carolina","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","103","1,424","3,944","17,381"
"South Carolina","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","425","5,908","21,892","99,712"
"South Carolina","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","114","1,668","6,046","25,165"
"South Carolina","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","57","1,762","5,897","23,708"
"South Carolina","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","243","7,686","28,127","128,292"
"South Carolina","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","1,112","35,240","129,266","565,941"
"South Carolina","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","3","91","270","1,132"
"South Carolina","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","511","15,886","62,104","275,583"
"South Carolina","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","298","9,815","32,868","137,226"
"South Carolina","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","25","1,789","7,203","30,950"
"South Carolina","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","458","29,943","116,297","507,733"
"South Carolina","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","183","12,039","48,879","201,464"
"South Carolina","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","140","8,853","32,366","148,008"
"South Carolina","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","110","7,262","27,849","127,311"
"South Carolina","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","72","8,806","35,692","156,859"
"South Carolina","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","22","2,694","11,142","54,138"
"South Carolina","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","34","3,908","16,264","65,837"
"South Carolina","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","12","1,801","6,549","29,604"
"South Carolina","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","4","403","1,737","7,280"
"South Carolina","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","2","500 to 999 employees","D","D"
"South Carolina","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"South Carolina","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"South Carolina","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
"South Carolina","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","Partnerships","All establishments","2016","137","2,611","10,010","45,748"
"South Dakota","722511","Full-service restaurants","All establishments","All establishments","2016","702","12,582","45,395","207,661"
"South Dakota","722511","Full-service restaurants","S-corporations","All establishments","2016","315","7,005","25,803","115,553"
"South Dakota","722511","Full-service restaurants","Corporations","All establishments","2016","71","1,814","6,459","32,753"
"South Dakota","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","179","1,152","3,123","13,607"
"South Dakota","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","40","41","131","3,646"
"South Dakota","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","218","312","947","17,649"
"South Dakota","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","67","78","277","6,719"
"South Dakota","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","9","9","75","4,585"
"South Dakota","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","102","184","464","2,699"
"South Dakota","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","117","814","2,196","10,052"
"South Dakota","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","40","282","971","4,893"
"South Dakota","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","24","157","397","1,699"
"South Dakota","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","10","78","245","1,042"
"South Dakota","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","43","297","583","2,418"
"South Dakota","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","20","313","792","3,846"
"South Dakota","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","162","2,329","7,185","31,304"
"South Dakota","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","89","1,304","4,282","18,167"
"South Dakota","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","29","409","1,444","6,507"
"South Dakota","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","24","303","667","2,784"
"South Dakota","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","76","2,313","8,692","38,463"
"South Dakota","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","26","809","2,740","12,712"
"South Dakota","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","133","4,081","14,298","63,951"
"South Dakota","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","8","208","537","2,240"
"South Dakota","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","23","751","2,329","10,536"
"South Dakota","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","16","986","4,454","17,700"
"South Dakota","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","65","4,284","17,355","70,519"
"South Dakota","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","8","551","2,436","10,433"
"South Dakota","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","39","2,587","9,593","38,920"
"South Dakota","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","2","100 to 249 employees","D","D"
"South Dakota","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","1","100 to 249 employees","D","D"
"South Dakota","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","4","441","1,988","8,391"
"South Dakota","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","7","762","3,414","14,186"
"South Dakota","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","2","100 to 249 employees","D","D"
"South Dakota","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"South Dakota","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","All establishments","All establishments","2016","4,514","113,627","472,638","2,034,072"
"Tennessee","722511","Full-service restaurants","Non-profit","All establishments","2016","2","0 to 19 employees","D","D"
"Tennessee","722511","Full-service restaurants","S-corporations","All establishments","2016","1,005","25,890","112,625","502,558"
"Tennessee","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2016","1","0 to 19 employees","D","D"
"Tennessee","722511","Full-service restaurants","Partnerships","All establishments","2016","1,268","36,212","146,512","645,905"
"Tennessee","722511","Full-service restaurants","Corporations","All establishments","2016","1,194","40,617","175,857","725,708"
"Tennessee","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","1,044","10,889","37,586","159,645"
"Tennessee","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","1","0 to 19 employees","D","D"
"Tennessee","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","269","336","1,259","27,405"
"Tennessee","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","144","214","882","13,303"
"Tennessee","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","179","327","1,347","12,448"
"Tennessee","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1 to 4 employees","2016","1","0 to 19 employees","D","D"
"Tennessee","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","1,075","1,691","6,141","69,953"
"Tennessee","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","481","810","2,649","16,759"
"Tennessee","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","640","4,410","15,891","65,743"
"Tennessee","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","129","891","3,246","13,642"
"Tennessee","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","238","1,624","4,832","19,573"
"Tennessee","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","147","1,005","4,247","17,656"
"Tennessee","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","126","890","3,566","14,872"
"Tennessee","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","223","3,181","14,543","56,871"
"Tennessee","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","233","3,290","14,816","66,547"
"Tennessee","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","174","2,474","7,373","31,153"
"Tennessee","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","238","3,461","12,161","52,273"
"Tennessee","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","1","0 to 19 employees","D","D"
"Tennessee","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","869","12,421","48,947","207,062"
"Tennessee","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","1,191","37,215","149,790","637,595"
"Tennessee","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","349","11,037","42,353","175,694"
"Tennessee","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","383","12,032","48,613","210,286"
"Tennessee","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","118","3,347","11,469","46,615"
"Tennessee","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","341","10,799","47,355","205,000"
"Tennessee","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","245","16,474","74,524","296,588"
"Tennessee","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","211","14,506","58,934","243,036"
"Tennessee","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","605","41,146","178,536","732,073"
"Tennessee","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","30","2,265","9,728","38,639"
"Tennessee","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","119","7,901","35,350","153,810"
"Tennessee","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","20","2,449","9,276","42,614"
"Tennessee","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","132","16,244","71,492","312,541"
"Tennessee","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","37","4,718","21,157","93,786"
"Tennessee","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","72","8,708","39,524","169,235"
"Tennessee","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","3","369","1,535","6,906"
"Tennessee","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","2","500 to 999 employees","D","D"
"Tennessee","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"Tennessee","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","1","100 to 249 employees","D","D"
"Tennessee","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Tennessee","722511","Full-service restaurants","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","Partnerships","All establishments","2016","4,488","132,386","558,105","2,368,771"
"Texas","722511","Full-service restaurants","Non-profit","All establishments","2016","12","168","509","2,611"
"Texas","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2016","8","214","1,349","5,071"
"Texas","722511","Full-service restaurants","All establishments","All establishments","2016","17,805","460,122","2,039,728","8,467,056"
"Texas","722511","Full-service restaurants","S-corporations","All establishments","2016","5,555","137,011","606,172","2,526,826"
"Texas","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","3,490","36,071","142,749","582,175"
"Texas","722511","Full-service restaurants","Corporations","All establishments","2016","4,252","154,272","730,844","2,981,602"
"Texas","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","4,622","7,156","30,356","344,392"
"Texas","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","1,004","1,091","5,504","121,637"
"Texas","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","7","12","32","347"
"Texas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1 to 4 employees","2016","3","0","0","94"
"Texas","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","780","1,276","6,126","78,071"
"Texas","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","1,218","1,972","9,398","82,578"
"Texas","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","1,610","2,805","9,296","61,665"
"Texas","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","2,819","19,075","73,504","301,022"
"Texas","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","510","3,538","12,839","55,782"
"Texas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2016","1","0 to 19 employees","D","D"
"Texas","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","549","3,672","15,891","65,386"
"Texas","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","934","6,419","27,800","111,982"
"Texas","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","825","5,441","16,805","67,339"
"Texas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2016","1","0 to 19 employees","D","D"
"Texas","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","611","8,093","26,785","107,963"
"Texas","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","1","0 to 19 employees","D","D"
"Texas","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","1,203","16,697","69,782","286,963"
"Texas","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","575","8,029","34,623","141,400"
"Texas","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","736","10,527","45,560","177,642"
"Texas","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","3,127","43,380","176,828","714,126"
"Texas","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","1,348","42,975","177,450","723,099"
"Texas","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","311","8,885","33,991","134,767"
"Texas","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","4,277","137,707","592,586","2,407,528"
"Texas","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","1,457","46,102","200,269","823,048"
"Texas","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","1,156","39,578","180,234","723,687"
"Texas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2016","1","20 to 99 employees","D","D"
"Texas","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","4","141","454","2,187"
"Texas","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","572","37,412","164,159","678,342"
"Texas","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2016","2","100 to 249 employees","D","D"
"Texas","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","742","50,428","221,758","906,805"
"Texas","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","2,315","156,014","712,529","2,877,190"
"Texas","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","880","59,141","286,873","1,144,138"
"Texas","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","119","8,869","38,802","144,282"
"Texas","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","304","39,671","194,513","776,269"
"Texas","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","148","21,237","100,562","413,239"
"Texas","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","144","17,557","77,375","325,351"
"Texas","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","609","80,058","382,165","1,551,750"
"Texas","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","13","1,593","9,715","36,891"
"Texas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"Texas","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","23","7,172","34,202","130,674"
"Texas","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","2","500 to 999 employees","D","D"
"Texas","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","33","10,311","54,591","215,172"
"Texas","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","7","2,210","9,105","38,786"
"Texas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","2","1,000 to 2,499 employees","D","D"
"Texas","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","1","500 to 999 employees","D","D"
"Texas","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","1","500 to 999 employees","D","D"
"Texas","722511","Full-service restaurants","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","1","2,500 to 4,999 employees","D","D"
"Texas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Texas","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","1","2,500 to 4,999 employees","D","D"
"Utah","722511","Full-service restaurants","Corporations","All establishments","2016","245","10,601","49,058","186,024"
"Utah","722511","Full-service restaurants","S-corporations","All establishments","2016","727","14,519","56,005","245,893"
"Utah","722511","Full-service restaurants","Partnerships","All establishments","2016","465","10,103","41,798","168,806"
"Utah","722511","Full-service restaurants","All establishments","All establishments","2016","1,627","37,376","155,591","635,973"
"Utah","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2016","1","0 to 19 employees","D","D"
"Utah","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","189","2,153","8,730","35,248"
"Utah","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","30","49","298","2,126"
"Utah","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","160","284","1,314","11,139"
"Utah","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","409","640","2,578","24,304"
"Utah","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1 to 4 employees","2016","1","0 to 19 employees","D","D"
"Utah","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","129","160","582","8,052"
"Utah","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","89","147","384","2,985"
"Utah","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","37","255","773","3,213"
"Utah","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","58","394","1,463","5,823"
